numberSupervisedPairsList,SsvTrainingMeanList,SsvTestingAllMeanList,SsvTestingUsvMeanList,SsvGraphTrainingMeanList,SsvGraphTestingAllMeanList,SsvGraphTestingUsvMeanList
1,1.0000000000000635,0.16696852135550908,0.14009653817342668,-8.384327012555502,0.13737826337951548,0.12775495250315344
2,0.9927829763249607,0.18489032161050745,0.13103081129621058,-8.616344349353831,0.1427009913196518,0.13182880389651408
3,0.9890149687134547,0.19879448027858887,0.11704753319912001,-3.89565292150605,0.1837432010138606,0.1679456735622867
4,0.9109746954205468,0.21571421634935967,0.11639129076776153,-8.566601665584951,0.20233499093904522,0.19453495221266526
5,0.8192192126463326,0.20905328991218936,0.09605960051697762,-5.631896091329571,0.28060002155604696,0.2777205299711966
6,0.7075380014776984,0.22458568235186735,0.11313514716898325,-3.2047309554834946,0.26474233315468787,0.26061901864562204
7,0.6636077540489824,0.2502600938630303,0.13452274901096367,-8.156602372702466,0.28790764397040547,0.2853072574803656
8,0.6494232170987551,0.2962468006728763,0.17852132853091665,-6.488674565598518,0.34442640097144717,0.3351118740644805
9,0.6458938684716513,0.2890459499554202,0.14940980792732977,-5.510521036455951,0.3107799866483959,0.3013749321977238
10,0.5939103778646966,0.32241377921371506,0.19900623437235984,-2.7233909576573696,0.39071492883940884,0.3834422602529205
