step times epsilon,SsvTraining,SsvTestingAll,SsvTestingUsv,SsvGraphTraining,SsvGraphTestingAll,SsvGraphTestingUsv
0.0,0.15821200430529517,0.14188441819792394,0.13731269408786,-64.02794953167364,0.14188441819792394,0.13731269408786
0.01,0.15920271521232773,0.14219385366467005,0.13743137243132592,-46.33762897483863,0.16047812395294664,0.15737280883324015
0.02,0.16019575464686517,0.14250389170867464,0.1375501700859813,-29.728893808332487,0.14664852111540744,0.1415286491921207
0.03,0.1611910819557896,0.14281452083997626,0.13766908372754852,-19.178578261913636,0.15719062363062697,0.15189810873645765
0.04,0.16218865645823546,0.14312572964086467,0.13778811013200085,-17.392204568500205,0.159893081074819,0.14984777455470294
0.05,0.16318843746011602,0.1434375067709152,0.13790724617793898,-37.70425713835882,0.1630114610226071,0.16394111607965797
0.060000000000000005,0.16419038426854077,0.14374984097191434,0.13802648884885893,-29.725262283777752,0.18010713487787372,0.1818171693271124
0.07,0.1651944562061082,0.14406272107266985,0.1381458352353071,-20.038255436778766,0.18289464327109353,0.18649193183127352
0.08,0.1662006126250612,0.1443761359936996,0.13826528253691836,-20.490562721441375,0.19041320461873093,0.18973109816582465
0.09,0.16720881292129045,0.14469007475179382,0.13838482806433478,-10.166453480926581,0.18969142252816484,0.19160369381450607
0.09999999999999999,0.16821901654817226,0.14500452646444667,0.1385044692410035,-19.974098859436292,0.1994251810431422,0.19791698736788343
0.10999999999999999,0.16923118303022772,0.14531948035414974,0.13862420360484792,-17.556136406994682,0.1896030617010059,0.19236099711538743
0.11999999999999998,0.1702452719765895,0.14563492575254564,0.13874402880981337,-23.95602920110703,0.21150300033422803,0.20880915803886524
0.12999999999999998,0.1712612430942634,0.14595085210443398,0.13886394262728174,-19.218916255836874,0.1988246532308582,0.20405494138938088
0.13999999999999999,0.17227905620117245,0.14626724897162832,0.13898394294735597,-19.46823721611401,0.21711860542841577,0.21427308123965666
0.15,0.1732986712389706,0.1465841060366576,0.13910402778000996,-14.198158233773214,0.21199596501789192,0.21722983269584725
0.16,0.17432004828561434,0.14690141310630925,0.13922419525610383,-12.053876130367204,0.22070610334899132,0.2204505371147758
0.17,0.17534314756767974,0.14721916011500963,0.13934444362826198,-10.22552826775495,0.22117521569973062,0.225248014200275
0.18000000000000002,0.1763679294724149,0.1475373371280394,0.13946477127161427,-9.393702098668074,0.22619106620403834,0.2274881945997853
0.19000000000000003,0.17739435455951505,0.147855934344579,0.1395851766843969,-9.111395206323088,0.22770503783095683,0.2316730630256281
0.20000000000000004,0.1784223835726118,0.14817494210058285,0.13970565848841474,-8.364831019828724,0.2336428933112926,0.23629853312287782
0.21000000000000005,0.1794519774504638,0.14849435087147803,0.13982621542936202,-7.366192574686147,0.23410274646249354,0.2386265929085757
0.22000000000000006,0.18048309733784113,0.14881415127468672,0.1399468463770035,-6.402890857029742,0.2392882726242867,0.24253193701617734
0.23000000000000007,0.18151570459609262,0.14913433407196747,0.14006755032521243,-5.629772813076994,0.23959297615165454,0.24479882184733484
0.24000000000000007,0.18254976081338836,0.14945489017157743,0.14018832639187037,-4.879608660663602,0.24260131369226848,0.24588077974072625
0.25000000000000006,0.18358522781462758,0.1497758106302489,0.14030917381862285,-4.474345349846133,0.24377034980929213,0.24931094945974575
0.26000000000000006,0.1846220676710049,0.15009708665498311,0.14043009197049702,-3.919980283475493,0.24493376796119865,0.24818732475351366
0.2700000000000001,0.18566024270922674,0.15041870960465756,0.1405510803353782,-3.6886368814765236,0.24662901852598504,0.2523082486987718
0.2800000000000001,0.18669971552037126,0.15074067099144628,0.14067213852334728,-3.329099880056085,0.24694701625327256,0.25015091460377903
0.2900000000000001,0.18774044896838538,0.15106296248205384,0.140793266265881,-3.2292406421415984,0.2484829354799378,0.2542201495568118
0.3000000000000001,0.18878240619821152,0.15138557589876067,0.14091446341491445,-3.038633118302727,0.248829811198397,0.2519683142234153
0.3100000000000001,0.18982555064354054,0.15170850322028082,0.14103572994176808,-3.0464943625585037,0.24971927854723203,0.25546681710059527
0.3200000000000001,0.19086984603418383,0.1520317365824326,0.14115706593594227,-2.989855295866914,0.2506620124082488,0.253745494299515
0.3300000000000001,0.1919152564030615,0.15235526827862078,0.14127847160377738,-3.088403002139842,0.2505796313108148,0.2562954277966729
0.34000000000000014,0.1929617460928012,0.1526790907601333,0.1413999472669863,-3.135125588400695,0.2524683282111723,0.2555280014226874
0.35000000000000014,0.19400927976194593,0.15300319663625175,0.14152149336105738,-3.3070284769724285,0.25120590980629703,0.2568409884012584
0.36000000000000015,0.1950578223907657,0.15332757867417712,0.14164311043353234,-3.4273594912555625,0.25421876298457613,0.2572967310141014
0.37000000000000016,0.1961073392866723,0.15365222979877247,0.14176479914216053,-3.649315826552691,0.25171246327475816,0.2572088879682595
0.38000000000000017,0.19715779608923395,0.1539771430921239,0.14188656025293309,-3.809860770703309,0.2558415482025128,0.25897666726610413
0.3900000000000002,0.19820915877478987,0.15430231179292242,0.14200839463799952,-4.042205801851021,0.25221211912714425,0.2575118021812654
0.4000000000000002,0.19926139366066226,0.15462772929566737,0.14213030327346882,-4.192061362084553,0.257262475769415,0.26047898733513575
0.4100000000000002,0.20031446740896638,0.15495338914969506,0.14225228723709907,-4.364266928101351,0.2527993421799278,0.25785658448518073
0.4200000000000002,0.20136834703001813,0.15527928505803446,0.14237434770587903,-4.432870311335225,0.258463823360756,0.26177316490252334
0.4300000000000002,0.20242299988534126,0.1556054108760927,0.14249648595350312,-4.47256669778085,0.2535121229726596,0.2583031631005688
