step times epsilon,SsvTraining,SsvTestingAll,SsvTestingUsv,SsvGraphTraining,SsvGraphTestingAll,SsvGraphTestingUsv
0.0,0.4965166668556334,0.5152398147554239,0.5232640209981912,-0.7986023948065653,0.5152398147554239,0.5232640209981912
0.01,0.5100054980477876,0.5195796824486915,0.5236829043347931,-0.39736379815074263,0.5221287268539717,0.5259191466725136
0.02,0.5235314900055087,0.5239461552859843,0.5241238689776166,-0.12554034751359333,0.5289604906356273,0.5291191861665209
0.03,0.5370705132726387,0.5283316898938086,0.5245864798743101,0.05778808005713032,0.5355809377167853,0.5326635820432697
0.04,0.5505980991828897,0.5327285472473727,0.5250701678464369,0.18328898845245145,0.541903212718118,0.5363812529265555
0.05,0.5640896340503836,0.5371288522305033,0.5255742314505547,0.27138442998103857,0.5478988630959456,0.5401571888108061
0.060000000000000005,0.5775205584781645,0.5415246562049848,0.5260978409450506,0.33503824987859254,0.5535737690544231,0.5439212945933943
0.07,0.5908665682657638,0.54590800150854,0.5266400443268727,0.3823856656831788,0.5589494214765213,0.547632461737619
0.08,0.6041038132926869,0.5502709867269299,0.5271997753416054,0.4185751652621393,0.5640523286017085,0.5512670753899002
0.09,0.6172090907636423,0.5546058315476244,0.5277758633121883,0.446928051939699,0.5689090291067841,0.5548120867516447
0.09999999999999999,0.6301600293249353,0.5589049400024872,0.5283670445785809,0.469638922945323,0.5735441183019692,0.558261035472293
0.10999999999999999,0.6429352607956161,0.5631609609454149,0.5289719752953286,0.4881948340297543,0.5779796774836476,0.5616117247631597
0.11999999999999998,0.6555145765921688,0.5673668446864001,0.5295892452982135,0.5036281926813841,0.5822352819291222,0.5648647873588257
0.12999999999999998,0.6678790663474555,0.5715158948127886,0.5302173927265029,0.5166720943252127,0.5863282112715467,0.5680227425466354
0.13999999999999999,0.6800112367149164,0.5756018143666112,0.5308549190744803,0.5278578971747606,0.5902737064441864,0.5710893416804657
0.15,0.6918951088866541,0.5796187457076382,0.5315003043452029,0.5375779715315793,0.5940852160232298,0.5740690977567313
0.16,0.70351629391629,0.5835613035680226,0.5321520219901937,0.5461269794036503,0.59777461544433,0.5769669418560852
0.17,0.71486204550169,0.5874246009885502,0.5328085533400617,0.5537296091141244,0.6013523976830215,0.5797879721135534
0.18000000000000002,0.7259212904271313,0.5912042680109912,0.533468401261217,0.5605595738889422,0.6048278386410156,0.5825372724658406
0.19000000000000003,0.7366846373699313,0.5948964631787353,0.53413010281108,0.5667528605693204,0.6082091412211051,0.5852197848218832
0.20000000000000004,0.7471443652267838,0.598497878062451,0.5347922407063084,0.5724171233297604,0.6115035615791019,0.5878402222517369
0.21000000000000005,0.7572943924977222,0.6020057351737333,0.5354534534634524,0.5776384486686794,0.614717520317603,0.5904030135076239
0.22000000000000006,0.767130229572537,0.605417779753657,0.5361124441169942,0.5824862993653663,0.6178567007573602,0.5929122712232731
0.23000000000000007,0.7766489159915345,0.6087322660222803,0.5367679874640284,0.5870171779774738,0.6209261359533078,0.5953717777341196
0.24000000000000007,0.7858489448995992,0.611947938548262,0.5374189358262603,0.591277377076293,0.6239302857944642,0.5977849837451957
0.25000000000000006,0.7947301769829566,0.6150640094449764,0.5380642233572707,0.5953050691712433,0.6268731053018166,0.6001550161149869
0.26000000000000006,0.8032937461779741,0.6180801321219993,0.5387028689551531,0.5991319129436632,0.6297581050812738,0.6024846918671553
0.2700000000000001,0.8115419593792091,0.6209963723207562,0.5393339778671336,0.6027843007398322,0.6325884047743686,0.6047765362217402
0.2800000000000001,0.8194781922594854,0.6238131771432176,0.5399567420933886,0.6062843368521789,0.6353667802606008,0.607032802980784
0.2900000000000001,0.8271067831586713,0.6265313427460181,0.5405704397120239,0.6096506115333933,0.6380957052916876,0.6092554960337795
0.3000000000000001,0.8344329268107669,0.6291519813227493,0.5411744332564561,0.6128988184159081,0.6407773881735124,0.6114463910861008
0.3100000000000001,0.8414625694711891,0.6316764879378031,0.5417681672806376,0.6160422507278404,0.6434138040529792,0.6136070569758533
0.3200000000000001,0.8482023067873232,0.6341065077093885,0.5423511652474164,0.6190922028611184,0.6460067233127677,0.615738876146068
0.3300000000000001,0.8546592855338884,0.6364439037701956,0.54292302587147,0.6220582974188811,0.6485577365264514,0.6178430639920466
0.34000000000000014,0.8608411101175789,0.6386907263642949,0.5434834190414589,0.6249487531406968,0.6510682763794049,0.6199206869181061
0.35000000000000014,0.8667557545485388,0.6408491833704612,0.5440320814369993,0.6277706055900452,0.6535396369173719,0.6219726790222998
0.36000000000000015,0.8724114803839136,0.6429216124770077,0.5445688119454767,0.6305298898513435,0.6559729904444962,0.623999857388564
0.37000000000000016,0.8778167609740946,0.6449104551727463,0.5450934669721684,0.6332317924865435,0.6583694023560315,0.6260029360086178
0.38000000000000017,0.8829802121872438,0.6468182326638041,0.5456059557251871,0.6358807784756625,0.6607298441577918,0.6279825383851053
0.3900000000000002,0.887910529653201,0.6486475237773204,0.5461062355448001,0.6384806976908259,0.6630552048945155,0.6299392088862558
0.4000000000000002,0.8926164324539513,0.6504009448707604,0.5465943073351072,0.6410348745419674,0.665346301182593,0.6318734229334974
0.4100000000000002,0.8971066130938992,0.6520811317297517,0.5470702111451171,0.6435461837202752,0.6676038860187727,0.6337855961089552
0.4200000000000002,0.9013896935080559,0.6536907234077283,0.5475340219361593,0.6460171144055146,0.6698286565153494,0.6356760922712456
0.4300000000000002,0.9054741868084742,0.6552323479369229,0.5479858455634009,0.6484498248602922,0.6720212606936707,0.6375452307666245
