step times epsilon,SsvTraining,SsvTestingAll,SsvTestingUsv,SsvGraphTraining,SsvGraphTestingAll,SsvGraphTestingUsv
0.0,0.386365249429879,0.4440803992673047,0.4787094891697601,-1.390655268630433,0.4440803992673047,0.4787094891697601
0.01,0.3990519459570199,0.4489599838120272,0.4789048065250315,-0.5946985006530445,0.4463286968271513,0.46567266863363077
0.02,0.4119080094258654,0.45392843490819007,0.47914069019758493,-0.15611833092787936,0.4499876798102329,0.45925088574671663
0.03,0.42491624568618835,0.4589795450090111,0.4794175246027048,0.08209909022075484,0.4542967204143975,0.45732239936376795
0.04,0.43805836987276975,0.4641066000604925,0.47973553817312614,0.21712616370722415,0.4587769858723917,0.4579720775231711
0.05,0.45131509779258844,0.46930240880942337,0.48009479541952427,0.2978558806543349,0.46323259737137534,0.46004402160025876
0.060000000000000005,0.46466625299635905,0.474559338835908,0.4804951903396374,0.3486507937553834,0.4676137550230109,0.4629152310383348
0.07,0.4780908885678388,0.4798693590716935,0.4809364413740063,0.38221509882266774,0.47192434770046066,0.46625171624673656
0.08,0.4915674222620185,0.48522408840190223,0.48141808808583253,0.4055010581143299,0.47618048073697194,0.46986704620869
0.09,0.5050737832372508,0.490614849785625,0.4819394897146495,0.42246476772728014,0.48039606907822896,0.47365098987493665
0.09999999999999999,0.5185875682729474,0.49603272917665336,0.482499825718877,0.4354270728717886,0.4845796494771948,0.4775344577220253
0.10999999999999999,0.5320862050595577,0.5014686383859465,0.48309809838177975,0.4457833628775364,0.4887349949404997,0.48147193701697566
0.11999999999999998,0.5455471199056242,0.5069133809084606,0.48373313751016245,0.4543903150259714,0.4928625841770711,0.4854322908312436
0.12999999999999998,0.5589479070398583,0.5123577196442544,0.484403607206892,0.4617839230515499,0.4969609337073342,0.48939364540659175
0.13999999999999999,0.5722664966033043,0.5177924453817664,0.4851080146488436,0.46830576347908426,0.5010275610713346,0.4933403611662329
0.15,0.5854813184327946,0.5232084448830047,0.4858447207531307,0.47417770942335946,0.5050596047569158,0.49726112702875797
0.16,0.5985714588328693,0.5285967674175766,0.4866119525684009,0.4795469114102826,0.5090541893561601,0.5011477006770771
0.17,0.61151680771558,0.5339486886349302,0.4874078171865403,0.484513261450201,0.5130086209959155,0.504994045083709
0.18000000000000002,0.6242981937484703,0.5392557707399838,0.48823031693489183,0.48914636030156017,0.5169204775652942,0.5087957222651831
0.19000000000000003,0.6368975054791469,0.5445099180431221,0.4890773655815072,0.4934961089608103,0.5207876377401803,0.5125494614636729
0.20000000000000004,0.6492977967859095,0.5497034270865434,0.4899468052669238,0.4975993853782865,0.5246082768942224,0.5162528492050152
0.21000000000000005,0.6614833754215815,0.5548290306993798,0.4908364238660588,0.5014842959185426,0.5283808469246646,0.5199041060894605
0.22000000000000006,0.6734398738545391,0.5598799354973907,0.49174397248310164,0.5051729125513496,0.5321040498060564,0.5235019259042243
0.23000000000000007,0.6851543020496002,0.5648498525126175,0.49266718279042804,0.5086830575202799,0.5357768101902673,0.5270453596841217
0.24000000000000007,0.6966150822554654,0.5697330208075364,0.493603783938779,0.512029484211554,0.5393982496825772,0.5305337321853423
0.25000000000000006,0.7078120662601335,0.5745242240908053,0.4945515187892084,0.5152246719757198,0.5429676638829528,0.5339665816734812
0.26000000000000006,0.7187365359289731,0.5792188005022697,0.49550815924624764,0.5182793716360512,0.5464845024454332,0.5373436164138208
0.2700000000000001,0.7293811881425863,0.5838126458690431,0.4964715205049173,0.5212029880478959,0.5499483519904576,0.540664683068926
0.2800000000000001,0.73974010549709,0.5883022108489792,0.4974394740601127,0.5240038546209737,0.5533589215258142,0.5439297435403091
0.2900000000000001,0.7498087143148128,0.5926844924705399,0.4984099593639762,0.5266894349945064,0.5567160299827613,0.5471388577659845
0.3000000000000001,0.7595837316385085,0.5969570206480503,0.4993809940537755,0.5292664746336161,0.5600195954904457,0.5502921706972911
0.3100000000000001,0.7690631029493838,0.6011178402986997,0.5003506827082893,0.5317411172528167,0.5632696260573139,0.5533899021951708
0.3200000000000001,0.7782459323629802,0.6051654897134442,0.5013172241237226,0.5341189959654702,0.5664662113826848,0.5564323389593456
0.3300000000000001,0.7871324070233617,0.6090989758399766,0.5022789171299457,0.5364053058458295,0.5696095155748173,0.559419827871758
0.34000000000000014,0.7957237173422831,0.6129177471244807,0.5032341649937992,0.5386048625102082,0.5726997705990051,0.5623527703266685
0.35000000000000014,0.804021974623756,0.616621664532657,0.5041814784779975,0.5407221499611441,0.5757372703189036,0.5652316172550272
0.36000000000000015,0.8120301274835803,0.6202109713323797,0.5051194776416593,0.5427613600328927,0.5787223650264743,0.5680568646457145
0.37000000000000016,0.8197518783255194,0.6236862621731727,0.5060468924817647,0.5447264251644007,0.581655456381337,0.5708290494323317
0.38000000000000017,0.8271916009778993,0.6270484519442524,0.5069625625240642,0.5466210458036858,0.5845369927000228,0.5735487456597697
0.3900000000000002,0.8343542604327444,0.6302987448357051,0.5078654354774816,0.5484487134496958,0.587367464550605,0.576216560875744
0.4000000000000002,0.8412453354694618,0.6334386039687034,0.5087545650682485,0.5502127301225025,0.5901474006194468,0.5788331327132438
0.4100000000000002,0.8478707447908901,0.6364697219024155,0.5096291081693307,0.5519162248932973,0.5928773638251358,0.5813991256434456
0.4200000000000002,0.8542367771546263,0.6393939922690101,0.5104883213376403,0.553562167984742,0.5955579476607462,0.5839152278873473
0.4300000000000002,0.8603500258494,0.6422134827350906,0.511331556866505,0.5551533828584952,0.5981897727499393,0.586382148479699
